,index,src_event_index,src_id,src_text,src_semantic_rep,src_file_name,src_class,src_type,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_fillable_neighbor,src_neighbors,src_label,src_activity,src_atm_neighbor,src_app,target_event_index,target_id,target_text,target_semantic_rep,target_file_name,target_class,target_type,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_fillable_neighbor,target_neighbors,target_label,target_activity,target_atm_neighbor,target_app,predict_score_temdroid
10,10,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3,0.015757063
11,11,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3,-0.054947022
12,12,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,3,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3,0.015757063
13,13,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,3,input note,,Note (Optional),,android.widget.EditText,fillable,,,,amount,Note (Optional),,wrong,input activity,,Expense2-Expense3,0.13513488
14,14,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,correct,input activity,,Expense2-Expense3,0.6364438
15,15,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,0.050109297
16,16,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3,0.003784802
17,17,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.028690116
18,18,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,TODAYS BUDGET TODAYS BUDGET,wrong,main activity,,Expense2-Expense3,0.1559098
19,19,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,DAILY AMOUNT: DAILY AMOUNT:,wrong,main activity,,Expense2-Expense3,0.24492985
20,20,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,0.050109297
21,21,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3,-0.03414358
22,22,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3,0.001708462
23,23,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3,0.027438216
24,24,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3,0.1699034
25,25,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,3,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3,0.027438216
26,26,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,2,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,Note (Optional),,correct,input activity,,Expense2-Expense3,-0.09009313
27,27,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,-0.033268385
28,28,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3,-0.025441835
29,29,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.030797785
30,30,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,TODAYS BUDGET TODAYS BUDGET,wrong,main activity,,Expense2-Expense3,0.005743978
31,31,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,DAILY AMOUNT: DAILY AMOUNT:,wrong,main activity,,Expense2-Expense3,0.017053252
32,32,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,-0.033268385
33,33,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,1,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3,0.11493992
34,34,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3,-0.10517433
35,35,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,1,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3,-0.01974371
36,36,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,2,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3,-0.055665523
37,37,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense2,3,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3,-0.01974371
38,38,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,3,do,do,Done,,android.widget.Button,clickable,,,,,,,correct,input activity,,Expense2-Expense3,-0.019588271
39,39,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,0.08204084
40,40,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3,0.019972341
41,41,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.065249756
42,42,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,TODAYS BUDGET TODAYS BUDGET,wrong,main activity,,Expense2-Expense3,-0.013101925
43,43,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,view,daily amount,DAILY AMOUNT:,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.17184085
44,44,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,DAILY AMOUNT: DAILY AMOUNT:,wrong,main activity,,Expense2-Expense3,0.015176852
45,45,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,0.08204084
46,46,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3,-0.043562382
47,47,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3,-0.006219525
48,48,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3,-0.056005
49,49,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3,-0.01958828
50,50,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3,0.1641807
51,51,3,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,3,input note,,Note (Optional),,android.widget.EditText,fillable,,,,amount,Note (Optional),,wrong,input activity,,Expense2-Expense3,-0.08899942
52,52,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense4-Expense2,0.6112079
53,53,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,-0.058123905
54,54,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,-0.04448898
55,55,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0,total month,,$0.00 ,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,-0.025374798
56,56,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2,0.06544605
57,57,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2,-0.05812394
58,58,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2,0.06988026
59,59,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2,-0.027494498
60,60,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,-0.02867109
61,61,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,,food,Food,,android.widget.TextView,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.07195406
62,62,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,-0.017363412
63,63,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,3,expense description,gra,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,wrong,expense activity,,Expense4-Expense2,-0.0631261
64,64,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense4-Expense2,0.8098832
65,65,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,-0.028219987
66,66,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.53198725
67,67,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.19509844
68,68,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0,total month,,$0.00 ,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,0.08422279
69,69,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2,0.53198725
70,70,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2,-0.112569354
71,71,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.02678307
72,72,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.015565086
73,73,2,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.092384726
74,74,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,2,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,correct,expense activity,,Expense4-Expense2,0.8594648
75,75,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,0.11547954
76,76,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.29867232
77,77,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.18592715
78,78,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0,total month,,$0.00 ,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,-0.049173966
79,79,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2,0.3910048
80,80,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2,0.29867232
81,81,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2,-0.020323005
82,82,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,-0.011571138
83,83,4,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.25721902
84,84,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,3,save expense,save,Save,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense4-Expense2,0.9753548
85,85,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,-0.009198307
86,86,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.049591467
87,87,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2,0.004740953
88,88,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0,total month,,$0.00 ,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2,0.13432427
89,89,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2,0.13367084
90,90,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2,0.049591467
91,91,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2,0.039144963
92,92,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.27473554
93,93,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.39370957
94,94,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1,,food,Food,,android.widget.TextView,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2,0.08364503
95,95,6,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,3,expense description,gra,Add a description,,android.widget.EditText,fillable,,,,,Add a description,,wrong,expense activity,,Expense4-Expense2,0.1662744
96,96,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,btn add expense,add expense,Add expense,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense2-Expense4,-0.023413468
97,97,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,drawer layout,record,Records,,android.widget.TextView,label,,,,,,,wrong,activity record main,,Expense2-Expense4,-0.0120595
98,98,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,,week,Week,,android.widget.TextView,clickable,,,,,,,wrong,activity record main,,Expense2-Expense4,0.057137627
99,99,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,drawer layout,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,activity record main,,Expense2-Expense4,-0.002012548
100,100,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,list view,short summary,Short summary,,android.widget.TextView,clickable,,,,,,,wrong,activity record main,,Expense2-Expense4,0.007294136
101,101,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,tv period,oct,18 Oct 2020 - 24 Oct 2020,,android.widget.TextView,clickable,,,,short summary,,,wrong,activity record main,,Expense2-Expense4,-0.015300443
102,102,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,list view,total income,Total income,,android.widget.TextView,clickable,,,,oct,,,wrong,activity record main,,Expense2-Expense4,0.4312934
103,103,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,tv total income,non,+ 0 NON,,android.widget.TextView,clickable,,,,total income,,,wrong,activity record main,,Expense2-Expense4,0.34379825
104,104,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,list view,total expense,Total expense,,android.widget.TextView,clickable,,,,non,,,wrong,activity record main,,Expense2-Expense4,0.009406367
105,105,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,tv total expense,non,- 0 NON,,android.widget.TextView,clickable,,,,total expense,,,wrong,activity record main,,Expense2-Expense4,-0.00974314
106,106,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,tv total,non,+ 0 NON,,android.widget.TextView,clickable,,,,non,,,wrong,activity record main,,Expense2-Expense4,0.014896309
107,107,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,wrong,activity record main,,Expense2-Expense4,0.96220267
108,108,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,et price,,et_price 2020-10-21,,android.widget.EditText,fillable,,,price,,,2020-10-21 2020-10-21,wrong,activity record add,date,Expense2-Expense4,-0.013120289
109,109,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,add expense,Add expense,,android.widget.TextView,label,,,,,,,wrong,activity record add,,Expense2-Expense4,-0.018401755
110,110,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,wrong,activity record add,,Expense2-Expense4,0.010950773
111,111,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,activity record add,,Expense2-Expense4,-0.034697644
112,112,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,date,Date,,android.widget.TextView,label,,,,,,,wrong,activity record add,,Expense2-Expense4,-0.029734973
113,113,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,time,Time,,android.widget.TextView,label,,,,,,,wrong,activity record add,,Expense2-Expense4,0.15764108
114,114,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,account,Account,,android.widget.TextView,label,,,,,,,wrong,activity record add,,Expense2-Expense4,0.14593352
115,115,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,tv date,,2020/10/21,,android.widget.TextView,clickable,,,,,,,wrong,activity record add,,Expense2-Expense4,-0.019178793
116,116,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,tv time,,15:32,,android.widget.TextView,clickable,,,,,,,wrong,activity record add,,Expense2-Expense4,-0.03402029
117,117,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,default,Default,,android.widget.TextView,clickable,,,,,,,wrong,activity record add,,Expense2-Expense4,0.076723576
